"Species_1325"	"Species_1075"	"Species_2055"	"Species_1991"	"Species_920"	"Species_1725"	"Species_863"	"Species_135"	"Species_1531"	"Species_615"	"Species_925"	"Species_1951"	"Species_2803"	"Species_382"	"Species_672"	"Species_1553"	"Species_546"	"Species_1309"	"Species_1683"	"Species_1903"	"Species_610"	"Species_893"	"Species_1497"	"Replicate"
"1"	-0.352463395892329	-0.373717287029989	-0.23639043824775	-0.289941852055754	-0.369004390295414	-0.374093695498036	-0.35512027119014	-0.389602925130881	-0.320665252312956	-0.35019787862622	-0.366041604014286	-0.353235947297216	-0.354053893394745	-0.355954993228373	-0.350585733402585	-0.354139808843361	-0.35151671510171	-0.371164997491753	-0.348109400144744	-0.338145227566895	-0.340681208326416	-0.345799356940446	-0.3642251609881	-0.350660712876524
"2"	-0.405855347784713	-0.279618180701175	-0.396899288270247	-0.394022248644293	-0.222357594945537	-0.376463413271028	-0.368442169584672	-0.182532566813395	-0.340673566663975	-0.427982280442442	-0.216187535963996	-0.33276726051901	-0.363996234699459	-0.395154555879729	-0.321561857493324	-0.367144401972309	-0.382033849326313	-0.369829548726159	-0.315592399032439	-0.315356660929565	-0.391243905830832	-0.331404774677403	-0.373026840506527	-0.322327170220121
"3"	-0.318912624472584	-0.213979480784243	-0.318912624472585	-0.102641458354083	-0.31757644939539	-0.263034150494754	-0.319777314188319	-0.288556106262475	-0.275986869648684	-0.340949905079783	-0.342826419464136	-0.328005729312504	-0.348528125404203	-0.325508352525908	-0.299798855087777	-0.390074950125162	-0.326083036748404	-0.308538609590578	-0.371122088487291	-0.283293705912703	-0.274844077702203	-0.313742052148213	-0.366472295300076	-0.331708556163899
"4"	-0.3280317670913	-0.215165739254491	-0.114656275858306	-0.3280317670913	-0.335366402412561	-0.269007584244018	-0.342547249702629	-0.292080528239457	-0.31877103030293	-0.326931652875995	-0.350306874246453	-0.329632719283007	-0.336396183924445	-0.329304016087465	-0.319404119449193	-0.332593637270081	-0.325052698522972	-0.320235818733601	-0.32823266183155	-0.293384560017142	-0.285313657801661	-0.32347369070173	-0.340531293249651	-0.325480724118629
"5"	-0.621297631191453	-0.483645653795881	-0.639630597266741	-0.619877232800782	-0.621297631191454	-0.476661290675632	-0.44400058841075	-0.426696786539275	-0.650145729098782	-0.645144885603785	-0.460969057320578	-0.574241485796007	-0.618572812623903	-0.619317449414855	-0.584042865061245	-0.57980623516441	-0.559944846627717	-0.613541283311377	-0.560159794722634	-0.589836534796058	-0.613879121964657	-0.569574786294532	-0.502598357669453	-0.545264882953575
"6"	-0.287454666884858	-0.0775772922428497	-0.289908190369636	-0.288100522938745	-0.0153149658377206	-0.287454666884859	-0.14769340295155	-0.0430845893520332	-0.320910686544883	-0.277193810433755	-0.192163378286343	-0.233297607201901	-0.263087125759236	-0.290802497720315	-0.205101387586819	-0.235730640599178	-0.215977014084657	-0.26266385401276	-0.17457475559622	-0.224194344768721	-0.280123986862484	-0.172653987191419	-0.149317798187997	-0.187461659174486
"7"	-0.309183063931725	-0.19693413300494	-0.157652598098485	-0.129898431691909	-0.315219878034197	-0.237479031782725	-0.327050221217279	-0.293321651012453	-0.258884308679755	-0.306106615185379	-0.303017913989762	-0.308873920909678	-0.358589371216188	-0.351976622901878	-0.291488724438267	-0.315286098126343	-0.312908091218743	-0.264638983821837	-0.289508697716753	-0.253418034174897	-0.266847944530153	-0.303077975315844	-0.306444464763293	-0.351680184654265
"8"	-0.281665159677397	-0.162711654640735	-0.0288608496126982	-0.121680353488933	-0.272303671948551	-0.251421010618493	-0.277103784144705	-0.243580164471631	-0.242167195808474	-0.291561862080214	-0.275250754539801	-0.281665956860321	-0.292219246363982	-0.282414412097346	-0.259271109253723	-0.294082171790411	-0.274997411686011	-0.241730397692631	-0.288236261607946	-0.212331265860709	-0.233281131755813	-0.27384679640692	-0.277738103116578	-0.279204529828954
"9"	-0.340246717571646	-0.44062665999667	-0.277731278523298	-0.15995440897009	-0.35650061871546	-0.393371872152078	-0.336070611468209	-0.378099139705122	-0.330209382172824	-0.341475188032229	-0.34785826992847	-0.403960840483675	-0.365199017048065	-0.356160764725982	-0.417004175273568	-0.395968588377581	-0.334336165633391	-0.37767098638731	-0.403118304069621	-0.316211778356295	-0.433119293133265	-0.385248671946161	-0.372657788733115	-0.34533415279099
"10"	-0.332439799554681	-0.239155366937822	-0.366214121258994	-0.333705867832978	-0.0199082202318071	-0.201502085096683	-0.332439799554681	-0.117340505910446	-0.386890331210548	-0.32569386812994	-0.169576201386312	-0.274198498572431	-0.312463984099802	-0.338171575110445	-0.279367981893092	-0.267790396856883	-0.228641075737209	-0.319523706433098	-0.244150468738626	-0.312310692159188	-0.324390500034839	-0.229752717597837	-0.169241445907031	-0.227086555642358
