"Species_1325"	"Species_1075"	"Species_2055"	"Species_1991"	"Species_920"	"Species_1725"	"Species_863"	"Species_135"	"Species_1531"	"Species_615"	"Species_925"	"Species_1951"	"Species_2803"	"Species_382"	"Species_672"	"Species_1553"	"Species_546"	"Species_1309"	"Species_1683"	"Species_1903"	"Species_610"	"Species_893"	"Species_1497"	"Replicate"
"1"	-0.327558141888188	-0.323614669992389	-0.17530167330757	-0.233137200220215	-0.318524741519047	-0.324021191137879	-0.303529892885351	-0.340771159141352	-0.266318472497993	-0.298213708916317	-0.315324932335429	-0.301494823080993	-0.302378204866324	-0.304431392686643	-0.298632592074791	-0.30247099355083	-0.299638052309847	-0.320858197291093	-0.295958152156323	-0.285196845772247	-0.287935704992529	-0.293463305495681	-0.313363173867148	-0.298713569906646
"2"	-0.3853676011566	-0.219586362426273	-0.346640895626101	-0.343524102697984	-0.157554061190999	-0.324502031043613	-0.315812350383394	-0.114410280714512	-0.285729697219306	-0.380314137145979	-0.150869830627663	-0.277164532228928	-0.310995920924414	-0.344750768869706	-0.265025345617767	-0.314406435470001	-0.330536670103505	-0.317315344453339	-0.258558432285143	-0.258303049340362	-0.340514231316735	-0.27568850590052	-0.320779077215405	-0.265854434405131
"3"	-0.292716956183068	-0.151097839246982	-0.264425634430391	-0.0308527750224099	-0.262982565347021	-0.204076882534334	-0.265359499323385	-0.231640594763473	-0.218065819220579	-0.288225897486165	-0.290252533021266	-0.274246187657504	-0.296410375436539	-0.27154902072798	-0.2437827634948	-0.341280946135174	-0.272169679688277	-0.253221698357824	-0.320811855566274	-0.22595720238572	-0.21683160391838	-0.25884141632007	-0.315790078924082	-0.278245240657011
"4"	-0.30218683505635	-0.15237899839485	-0.0438287779269706	-0.274274308458604	-0.282195714605566	-0.210528190983539	-0.289951029678839	-0.235446970498614	-0.264272712727164	-0.273086185106075	-0.298331424186169	-0.276003336825648	-0.2833078786384	-0.275648337374462	-0.264956449005129	-0.279201128251687	-0.27105691440481	-0.265854684232289	-0.274491274778074	-0.236855324818514	-0.228138750425794	-0.269351585957868	-0.287773796709623	-0.271519182048119
"5"	-0.606149536439111	-0.440616124945538	-0.609599813705636	-0.58820033553418	-0.589739100457409	-0.433049731565268	-0.397667304111645	-0.378921518750881	-0.62099120652368	-0.615573626070767	-0.416049812097293	-0.538761609612341	-0.586787213675895	-0.58759390353276	-0.549379770483016	-0.544790088094778	-0.523273583846694	-0.581336390253992	-0.523506444282854	-0.555656246029063	-0.581702382128378	-0.533706018485743	-0.461148220808575	-0.507370289866373
"6"	-0.258952853560252	-0.000708733263087291	-0.230733872900439	-0.228775566516974	0.0667421203424692	-0.228075889125263	-0.0766678531975126	0.0366583615352971	-0.264319910423623	-0.216959961303235	-0.124843659810205	-0.169405741135393	-0.201677719572505	-0.231702705863675	-0.138859836552387	-0.172041527315776	-0.150641765258378	-0.20121917518049	-0.105789318562571	-0.159543873499448	-0.220134319101025	-0.103708486124037	-0.0784276147036636	-0.11975013077236
"7"	-0.281550386488994	-0.130011977422019	-0.087456981273359	-0.0573899676662346	-0.258154867870381	-0.173935617764619	-0.270971072985386	-0.234431788596824	-0.197124667736401	-0.248282166450827	-0.244936073488909	-0.251280080985484	-0.305138485484204	-0.297974674810368	-0.232446118141456	-0.258226606303538	-0.255650432153638	-0.203358899140324	-0.230301089193149	-0.191202870356138	-0.205751939907665	-0.245001139925498	-0.248648170160234	-0.297653533375454
"8"	-0.252931766064493	-0.0929376258607963	0.0520674129195768	-0.0484870496130108	-0.211662311277597	-0.189039428170034	-0.21686243282343	-0.1805451781776	-0.179014462125847	-0.232525350586899	-0.214854984084785	-0.221804786598682	-0.233237516894314	-0.222615613105459	-0.197543701691533	-0.235255686106279	-0.214580529326512	-0.178541264167017	-0.228922616741941	-0.146692204682435	-0.169387892735465	-0.213334029440831	-0.217549611709627	-0.219138240648034
"9"	-0.313856586274512	-0.394012214996392	-0.21754221840024	-0.0899506097175971	-0.302875670275082	-0.342819528164751	-0.280743162423893	-0.326274068013883	-0.274393497353893	-0.286598120368248	-0.293513125755843	-0.354290910523982	-0.312298935135403	-0.302507495119813	-0.368421189879699	-0.345632637409046	-0.278864179436174	-0.325810235252919	-0.353378162742089	-0.259229426552652	-0.385879234227704	-0.334019394608341	-0.320379271127541	-0.290778665523573
"10"	-0.305737391536869	-0.175751647515974	-0.31339863136391	-0.27818135681906	0.0617660947488754	-0.134960592188073	-0.276809782850905	-0.0437855480696495	-0.335797858811427	-0.269501690474102	-0.100374218168505	-0.213715040120133	-0.255169316108119	-0.283019206369649	-0.219315313717516	-0.20677292992829	-0.164361165381977	-0.262817348635856	-0.181163007800179	-0.25500324983912	-0.268089708371076	-0.165565444064323	-0.100011566399284	-0.162677101945888
"11"	-0.170658042991927	-0.0934889805514373	-0.109136307406402	-0.00578684857386547	-0.134673063154284	-0.0895338591694934	-0.151582044342076	-0.110257317895474	-0.197053152304092	-0.169327477686287	-0.134246984740763	-0.135023924043258	-0.136467629504211	-0.13598117458586	-0.144727903578282	-0.126674204637425	-0.222073213313428	-0.242043324657176	-0.109275711869358	-0.0843757951707482	-0.125024026191401	-0.120614880792139	-0.13075220858239	-0.136799778453584
"12"	-0.33867838008333	-0.177267522014303	-0.314652023364759	-0.309763171438152	-0.0587805805791282	-0.13762610332035	-0.0827100383510336	-0.186609644226643	-0.258344317929258	-0.306740041040071	-0.0730021956340174	-0.248991438527315	-0.27724777318096	-0.343580696463876	-0.194171771536431	-0.27996703961961	-0.233246512061452	-0.285633638777294	-0.220238665812669	-0.226741560953503	-0.298334714046666	-0.233025327279504	-0.130796613780908	-0.148717425478547
"13"	-0.330958243309081	-0.0884368736281564	-0.305085888998636	-0.308452209556237	0.0550385909945714	-0.0640707077517949	-0.0785224655711821	-0.30308150344696	-0.290980383422607	-0.29041731019663	-0.11144934327117	-0.23253640682671	-0.273788299996908	-0.330774649063919	-0.21439513189572	-0.231771305550827	-0.201132314345037	-0.279516346943035	-0.187005665401184	-0.214855535095252	-0.314353306534747	-0.183930522484539	-0.172127712382949	-0.195759408462836
"14"	0.459468444904416	0.57582526219124	0.346103630991826	0.438370943832557	0.543394584926884	0.506042314731304	0.487570091348113	0.57391456195939	0.439448757678654	0.439448757678654	0.641754986816561	0.592724632724171	0.459107161962623	0.518752756004369	0.557725155588531	0.447265165827068	0.381889183606222	0.485927625589392	0.625599779508738	0.537720271117072	0.526738180428729	0.518926843326776	0.548330196389361	0.570236290147115
"15"	-0.544240915393475	-0.508961298290921	-0.35485195787207	-0.54830224200556	-0.52321181950457	-0.528030793570389	-0.531715740700407	-0.534163040058493	-0.526711719831686	-0.404257196454488	-0.501575862227681	-0.528269289365049	-0.503740745667348	-0.523572573060569	-0.435862648699583	-0.514762499463662	-0.493616946670958	-0.494854066683353	-0.517028393231535	-0.435702270203999	-0.439814830910801	-0.528817568207745	-0.530989312994678	-0.526798283209917
"16"	-0.453744159321697	-0.419539749604762	-0.294446601759986	-0.410224776802221	-0.421080812388923	-0.439585448273761	-0.461480397421873	-0.408017625501398	-0.432734319295608	-0.559884928458743	-0.421078785976779	-0.450068240017935	-0.412612989057474	-0.496051915221336	-0.331881005591856	-0.485895319864944	-0.513811876369511	-0.324937296398389	-0.536635036897467	-0.26163146273259	-0.305278481021662	-0.466004883644734	-0.495642241335606	-0.470440565586743
"17"	-0.276717404152641	-0.140151933436363	-0.280240400092661	-0.266993455544694	0.0723892614805228	-0.145823106470574	-0.0627701062358906	-0.0394123847824294	-0.216161086454139	-0.233654048110382	-0.246580629325668	-0.153419168643151	-0.213070395486653	-0.369516841911102	-0.134609040676933	-0.167458041937475	-0.13948065848419	-0.223278013737911	-0.121422042272417	-0.151423868072303	-0.232230121854653	-0.160594949298495	-0.0661367395781488	-0.0913014267617989
"18"	-0.534808729915806	-0.482741927081877	-0.547637960742661	-0.521947961385641	-0.511816312159656	-0.54777473506098	-0.432796021286805	-0.527320614441813	-0.542403511379503	-0.527638546291402	-0.435459682252804	-0.283089975095753	-0.358126020990006	-0.201036726987556	-0.260013456890496	-0.451069544903887	-0.498160420966617	-0.401108654761524	-0.442286367148117	-0.48246518483496	-0.573909260116148	-0.461806160962466	-0.444732437016695	-0.365418629659141
"19"	0.443571022664205	0.0848371272701189	0.352064360642342	0.366539170453668	0.335575947020214	0.284411526845975	0.412300498332312	0.173950897315503	0.360896224601111	0.415383091573222	0.336366880274096	0.36739328813152	0.41397737351548	0.386448557039748	0.366349401812282	0.392897417113909	0.417499151021304	0.322954319011572	0.270857739539416	0.277887718267222	0.282880775756648	0.292932632294074	0.345915333762177	0.38701238575998
"20"	0.484439325273914	0.165399916275744	0.455933333968614	0.431244602513177	0.399907710645767	0.335542520134915	0.356213553080007	0.250453113109737	0.414162749123611	0.438791740239972	0.407263802082896	0.41717018150104	0.460392776109106	0.438119613064202	0.417088759932521	0.437191727248212	0.477185227817579	0.374287928691213	0.302662537097548	0.319172408317693	0.342328821531097	0.344274310860859	0.390275565681612	0.470715349776522
"21"	0.558413640390712	0.388156610528807	0.555746279917264	0.548778870081961	0.491079940232563	0.460564670404031	0.489098432984799	0.41766711235111	0.523179439289878	0.519201393501747	0.469943512449894	0.502026417983038	0.545057795590826	0.523560353320976	0.500378572156919	0.521491710564816	0.54552145537909	0.456176697408119	0.405597135666469	0.425322149001293	0.448812998934636	0.456548395463069	0.485446123638475	0.529529861369814
"22"	0.606697368685455	0.627526013345793	0.570195338017261	0.57350683080549	0.584135211835772	0.640618981880111	0.605961096290606	0.60406065698668	0.543703999837419	0.50529443852065	0.58342930662829	0.60032247839824	0.581420180669006	0.604529899526054	0.618412645304315	0.576387485548111	0.517630263396065	0.573172527886025	0.589860743362629	0.609782688860463	0.637726448426724	0.67997999301054	0.626462563410463	0.609144112682834
"23"	0.420474564629819	0.391283270379608	0.201081233433384	0.373212520841379	0.404112503727525	0.397688480577587	0.404336730940542	0.377512416285615	0.398185124807889	0.206071931988082	0.405955733726656	0.398388124501352	0.37633642826898	0.39754498063491	0.299805474940167	0.391358951491505	0.337188409591746	0.327646527166794	0.389472411805292	0.331344468742915	0.31860196237116	0.398454994618269	0.410496380731687	0.403819256427805
"24"	0.632625591169276	0.579645418360425	0.620958573341182	0.616947718781101	0.614652859276584	0.546567697721587	0.57358675328406	0.594016951705732	0.648788176966767	0.644403636534917	0.545000856242569	0.432228322094492	0.394816240252153	0.27461806317856	0.260906724341823	0.573955418234934	0.597238832286082	0.49118941015945	0.545860899526397	0.608646142319393	0.514184021901164	0.569418032167339	0.539279515559302	0.443136116124709
"25"	0.489159589435768	0.42003711787896	0.492133815514149	0.488578665642203	0.464007944197768	0.42969404475402	0.431852050753862	0.433739138115337	0.443345325334399	0.469488073922254	0.411889944451433	0.274088697110703	0.469511881337144	0.276937849843734	-0.0766313819056159	0.441542533191721	0.441232170498559	0.398283466385318	0.41447147856738	0.39496178580843	0.341788124484202	0.442510328960319	0.451930214282396	0.361881113154612
"26"	-0.563389332340236	-0.497353253199664	-0.558293973234339	-0.563390255658549	-0.542256216848123	-0.472535026660014	-0.456713215253478	-0.52726891022524	-0.560773387080687	-0.600543646288599	-0.424250158862678	-0.323436492807602	-0.382005335500885	-0.546596614353323	-0.131238397505132	-0.486360031783811	-0.530911262512381	-0.371859981357491	-0.45535860362176	-0.424357716919762	-0.395180365356443	-0.490065363865524	-0.441293138895186	-0.324922645285471
"27"	0.673704927904713	0.650778807757048	0.701264738000885	0.690005557107904	0.717415654649681	0.595175623151314	0.601702347505724	0.669106869015399	0.640591806226538	0.662911083288374	0.572779374406445	0.468436117976438	0.312310641221737	0.350742776764722	0.661155117439508	0.613970823363493	0.64081036783764	0.530410024306836	0.587490535726787	0.550969330085871	0.532984146984713	0.614381212766038	0.586096386985788	0.502589556426389
"28"	0.5867970637285	0.531130108287183	0.585533040907543	0.607285958675992	0.584236252523437	0.503606897596944	0.523379067910008	0.549024810196883	0.557220945981854	0.58324320068289	0.4559894923845	0.383066342246302	0.32851804836572	0.215129239521185	0.0414842724366732	0.513849161425658	0.544969444996957	0.40434875945582	0.48662676208021	0.451630880338552	0.413193273374681	0.511579896960159	0.471856929136801	0.388644692597458
"29"	0.693414585523086	0.562541068818618	0.705475460680737	0.659013813743213	0.616979934876516	0.434874212483801	0.546038697002357	0.516938892270218	0.681098362295806	0.646588699761029	0.66187933304452	0.557357578613151	0.649990039481602	0.61366148500628	0.607790870080951	0.610287331061823	0.626302015187757	0.62695012511144	0.509590495682237	0.660845930630271	0.626772597332144	0.356341636927225	0.594845813212513	0.500452061048387
"30"	0.63882764996924	0.482666526021605	0.635085952717006	0.632111127288426	0.54856265064006	0.417725648225316	0.45133407292752	0.46414080397481	0.649860308163009	0.616994481602845	0.59401521418131	0.462832574975457	0.602926816307411	0.555828535504177	0.570341653176297	0.54043202841627	0.594389479834053	0.583666993472395	0.405168363163523	0.602522020372939	0.609877336164849	0.276235224156982	0.538462497961414	0.402305524631229
"31"	-0.380430621625813	-0.248909733257914	-0.358012977175561	-0.355182674804639	-0.278786810463815	-0.204102890974993	-0.163873402372389	-0.22877384567207	-0.354122706950439	-0.285320985825755	-0.300493788124133	-0.102428489596287	-0.332343272317068	-0.239056801119716	-0.26420882500537	-0.197572241182115	-0.24139731569923	-0.255208706353819	-0.0951801315590544	-0.317344192374337	-0.341724787563498	-0.0935538050994176	-0.187422464447781	-0.0287435465716724
"32"	0.55627476905392	0.364791806072524	0.550829774993497	0.507381903910116	0.447107129616743	0.195357505180849	0.359567569551273	0.316659748273194	0.591101670571576	0.501997024479729	0.59597863641052	0.345838747389213	0.497187412480869	0.44133419087404	0.436451501044714	0.435114462332156	0.462709879982369	0.493839447143712	0.285190499765796	0.544552775362088	0.459543751440131	0.178178105090208	0.420413616020992	0.236417826258408
"33"	0.528911544110311	0.359472909515531	0.510345861107039	0.510367836393155	0.412117114177719	0.292066628580816	0.310071024484553	0.323935005737243	0.520264900134555	0.463277386167599	0.470622852031952	0.41401608990167	0.489691262312938	0.496865225534853	0.474151758301223	0.405326910247497	0.423307843785763	0.564618465725151	0.289797590427665	0.512213435991795	0.615234818899409	0.311430259505539	0.398912573893385	0.365506090315536
"34"	0.536694670597236	0.338348543661447	0.528582854143868	0.488221804069677	0.420639346256556	0.176302629393785	0.312512788694005	0.266750527048882	0.575290517931348	0.491700618913412	0.557173736106123	0.333576091966761	0.471905357841717	0.437110659454286	0.410608253627672	0.409629540469229	0.434705432022539	0.509389996438561	0.272234880008715	0.507931022510437	0.434718577544019	0.201276298304259	0.388847696355651	0.199791914519
"35"	-0.314393775952368	-0.139482231366314	-0.28436917848706	-0.284494337519607	0.0351311741560274	-0.0461462277924789	-0.238079607169218	-0.0379760125411557	-0.317071215624465	-0.276038346456241	-0.228805276991616	-0.265786204920543	-0.337677627033648	-0.281833977828129	-0.287471041968765	-0.251919834861182	-0.279065762407159	-0.257683364574242	-0.210873043181711	-0.248592663841655	-0.275536831259384	-0.194276806026598	-0.229246948300412	-0.207941181566673
"36"	0.535056037122501	0.328619455710202	0.480711896996199	0.510176312826527	0.480655034246979	0.390523205373645	0.456716642253986	0.42887416174018	0.385993542234807	0.511801171826567	0.430365124851004	0.408578024276703	0.472297135575211	0.386885464816926	0.28494451095338	0.492373438753988	0.525346904751375	0.275096321277014	0.454701113473437	0.376912274791776	0.28394795182418	0.400468519783533	0.402229861987772	0.352789987678456
"37"	0.515824579646782	0.276735739984636	0.452471596549691	0.485217635796119	0.458658937038447	0.368160357280806	0.436178306706405	0.414635794645732	0.392408505927952	0.510704561084715	0.406962873107947	0.365692255930959	0.372021236672794	0.364491638522479	0.205101431197628	0.462366087401301	0.476165024873168	0.260093328476025	0.429877756484121	0.356273688928961	0.176087931013036	0.367237720147555	0.371941491223665	0.319737731370531
