"Species_1325"	"Species_1075"	"Species_2055"	"Species_1991"	"Species_920"	"Species_1725"	"Species_863"	"Species_135"	"Species_1531"	"Species_615"	"Species_925"	"Species_1951"	"Species_2803"	"Species_382"	"Species_672"	"Species_1553"	"Species_546"	"Species_1309"	"Species_1683"	"Species_1903"	"Species_610"	"Species_893"	"Species_1497"	"Replicate"
"1"	4.03729286826923	3.98868790650777	2.16066738979702	2.87351476092639	3.92595238173356	3.99369845184799	3.74113451977896	4.20014890358869	3.2824879989444	3.67561030016754	3.88651337795129	3.71605142228609	3.72693947703361	3.75224588674886	3.68077321255494	3.72808313687992	3.69316593591366	3.95471321268894	3.64780960753751	3.51517194734305	3.54892954754648	3.61705956550719	3.8623338737338	3.68177129863867
"2"	5.62873951782479	3.20731278928115	5.06309119357425	5.01756682808344	2.30125928531076	4.73972747129656	4.61280463506785	1.67109447283687	4.17341269304282	5.55492783128675	2.20362836718173	4.04830855218268	4.54245511230254	5.03548370624141	3.87100169196035	4.59226962172483	4.82787035422257	4.63475760177071	3.77654494332751	3.77281478005185	4.97360417544642	4.02674948053492	4.68534942479504	3.88311149259541
"3"	3.39921899099147	1.75464602858503	3.07068182855321	0.35828241776118	3.05392397517339	2.36987301240996	3.08152647288362	2.68996070153213	2.53232161076831	3.3470659069637	3.3706005121624	3.18472445685509	3.44210936889032	3.15340320656518	2.8309634335964	3.96317551430362	3.16061070063139	2.94057446214596	3.72547516958354	2.62396146610816	2.51798910284354	3.00583426899274	3.66715904484226	3.23116405187946
"4"	3.76283178397747	1.89742395053006	0.545756133306542	3.41526488142353	3.5139022652064	2.62149794946699	3.61047148221756	2.93178670033122	3.29072496789044	3.40047036427208	3.71482419105932	3.43679475016747	3.52775093657874	3.43237429545783	3.29923885499642	3.47661366290795	3.37520187667701	3.3104236839504	3.4179665469769	2.94932353444589	2.84078471220959	3.35396711944122	3.58336056781864	3.38095803538136
"5"	6.52420871362412	4.74251218374353	6.56134530724245	6.33101491257879	6.34757720111788	4.66107232995388	4.28023834819715	4.07847061788938	6.68395502615835	6.62564363025216	4.4780959915153	5.79888785966609	6.31580496620912	6.32448766359146	5.91317500089214	5.86377457405024	5.63218458500769	6.25713576409355	5.63469094687935	5.98073099819427	6.26107506822964	5.74447268701012	4.96350662601519	5.46101162697615
"6"	3.03110895041833	0.00829590293239704	2.70079861139849	2.67787613757759	0.781233477671967	2.66968623592074	0.897416702852697	0.429095436600223	3.09393171476444	2.53957147622486	1.46132676064774	1.98293724571088	2.3606889535741	2.71213904741203	1.62538967090252	2.01378979270122	1.76330014017492	2.35532157495018	1.23829085466732	1.86750157914775	2.5767281408471	1.21393418223817	0.918015158434708	1.40170570900239
"7"	3.19177893245563	1.47387292085538	0.991450780108892	0.6505978983572	2.92655705024847	1.97181061375125	3.07184718460139	2.65762179648254	2.23469187662776	2.81463576755973	2.77670298701885	2.84862144441262	3.45918399045767	3.37797188391437	2.63511136342906	2.92737030865828	2.89816566617661	2.3053658639848	2.61079437245599	2.16755977868857	2.33249442594828	2.77744060874299	2.81878494648097	3.37433128345532
"8"	2.8960539985446	1.06413040630402	0.596168847139448	0.555173895688473	2.42352114348649	2.16449044875928	2.48306223249263	2.06723178078733	2.04970517109614	2.66240172916227	2.46007706128663	2.53965189553001	2.67055599192771	2.54893581183525	2.26186388555557	2.69366391192919	2.45693457028013	2.04428708201189	2.62115063634888	1.6796172048139	1.93948151192881	2.44266221914654	2.49093039073962	2.50912009961195
"9"	3.46253059270134	4.34682402085954	2.39997062147399	0.992353678717785	3.3413868625817	3.78205574124122	3.09721647113764	3.59952281235568	3.02716565646697	3.16180957476484	3.23809734042064	3.90861039740086	3.44534626406914	3.33732507833265	4.06449855362325	3.81309054262806	3.07648714327688	3.59440571367123	3.89854077561679	2.85987249979809	4.25709929959209	3.68497085281935	3.53449019730371	3.20793021115582
"10"	3.40686140298491	1.95841765190496	3.49223134133152	3.09980183585933	0.688265583595381	1.50387896664607	3.08451825412286	0.487906608273136	3.74182810495938	3.00308347206097	1.1184796469091	2.38144741721868	2.84337643460916	3.15371046255526	2.44385180900463	2.30409081013515	1.83149240488614	2.92859920273884	2.01871696432216	2.84152594206932	2.98734961855903	1.84491179902926	1.11443858307627	1.81272672270462
"11"	2.16934246789762	1.188397641477	1.38730072310413	0.0735602972265007	1.7119145986941	1.1381215886809	1.92685536759355	1.40155059740404	2.50486741926711	2.15242880960626	1.70649844613018	1.71637461366575	1.73472646812671	1.72854283157144	1.83972804338914	1.61023604214258	2.82291326079542	3.07676599382298	1.38907278152226	1.07255417041899	1.58925957880215	1.53321213917338	1.66207413302287	1.7389486237832
"12"	3.61425618182515	1.89173645249922	3.35785537975605	3.30568327684998	0.627285617337351	1.46869721823901	0.882652348034934	1.99143228471918	2.75695941348688	3.27342149584395	0.779053675620329	2.65714878433476	2.95869041853216	3.66657197263321	2.07213263934597	2.98770947057057	2.48912448411923	3.04818141752669	2.35030933830058	2.41970594093207	3.18372281168613	2.48676407816335	1.39581531541261	1.58705989513919
"13"	4.29269389484043	1.147070469394	3.95711652325681	4.00077938404917	0.713878044495089	0.831029114894656	1.01847563969102	3.93111864045879	3.77416106318292	3.76685772190539	1.44555370689871	3.01611346474585	3.5511711451099	4.29031258568356	2.78081205825344	3.00618971864701	2.6087866832123	3.62546677802463	2.42555698308606	2.78678371795297	4.07731956240894	2.38567084188571	2.23258249346305	2.53909740746722
