"Species_1325"	"Species_1075"	"Species_2055"	"Species_1991"	"Species_920"	"Species_1725"	"Species_863"	"Species_135"	"Species_1531"	"Species_615"	"Species_925"	"Species_1951"	"Species_2803"	"Species_382"	"Species_672"	"Species_1553"	"Species_546"	"Species_1309"	"Species_1683"	"Species_1903"	"Species_610"	"Species_893"	"Species_1497"	"Replicate"
"1"	-0.260945435037526	-0.247725560652892	-0.192438876326409	-0.203500883494226	-0.265859285842409	-0.249898185119867	-0.268319005650069	-0.265832207733524	-0.248617467967418	-0.261701631325905	-0.265744685214285	-0.261133353506025	-0.26149653648061	-0.263298737002234	-0.25721991582583	-0.260163527412313	-0.268644534182317	-0.259428199991332	-0.255841763610441	-0.247683895236306	-0.250587485477866	-0.257371860063534	-0.264642587395886	-0.262662581265767
"2"	-0.397165027162129	-0.313016340944604	-0.412829849701433	-0.413779824277917	-0.20744573961566	-0.336462264849273	-0.324341156957627	-0.263700657795337	-0.428170658533647	-0.415521405786131	-0.289568363976039	-0.363204893544895	-0.382790126578486	-0.416490531446626	-0.356479439744919	-0.370228746806295	-0.367598772036425	-0.416484514648319	-0.352405485904498	-0.44090204283357	-0.434011470850424	-0.352408262165271	-0.344716327271982	-0.34542500128151
"3"	-0.486384705121968	-0.37723591084752	-1.33986599887027e-16	-0.261454816463567	-0.488079473462512	-0.455487232101207	-0.476512307158218	-0.464122002208352	-0.394113061552897	-0.468763474875565	-0.501080082284651	-0.489902111276773	-0.493453117203414	-0.487040605914531	-0.46008511767096	-0.51811165549017	-0.463342008896484	-0.49004137322224	-0.527931167878988	-0.463714747880032	-0.401147111499172	-0.485284538638624	-0.509458257953777	-0.471260982927691
"4"	-0.369626447923146	-0.273290972489241	-0.205668672371306	-6.69932999435133e-17	-0.376196349493656	-0.343686854033578	-0.375900564939678	-0.345470073006345	-0.373928905877189	-0.369391543353763	-0.38008735936389	-0.370526734553195	-0.372223972603361	-0.369376422364159	-0.367389186901593	-0.374250457919952	-0.368527180910182	-0.374583518127736	-0.375574233340438	-0.35401787041578	-0.332639343915689	-0.341159204376954	-0.377270841284094	-0.367107918302846
"5"	-0.702818922677958	-0.550636141760008	-0.708955597636941	-0.702196891564854	4.48823886728972e-16	-0.581701914610331	-0.554129496433646	-0.543456544412395	-0.747279370007694	-0.66787616619649	-0.557899359804413	-0.647563172528254	-0.712115576172592	-0.700420121009086	-0.697755227690904	-0.646251303205171	-0.632193092765097	-0.703337329911553	-0.60901174081612	-0.698326147915535	-0.696325711606366	-0.58296852079032	-0.589165487524545	-0.635058190240986
"6"	-0.389207910658023	-0.164909040981281	-0.383498404275988	-0.379278852766958	-0.116443214523033	-1.12205971682243e-16	-0.306432308386606	-0.134505519473067	-0.427860886036304	-0.358336666965728	-0.357262567643608	-0.353489812411702	-0.370404047722389	-0.376249379634076	-0.319709199832659	-0.353143342649505	-0.339620118150746	-0.357910343376123	-0.265506225011876	-0.341086638095984	-0.355218204014871	-0.265614941720851	-0.279602565901089	-0.30984556982759
"7"	-0.60232149917854	-0.443007370106474	-0.459688447922694	-0.406470401665767	-0.612130126647254	-0.532803396301042	-0.616773755177885	-0.599099147257077	-0.526970749772065	-0.597157071827722	-0.589557925059128	-0.598574866776796	-0.613075890018086	-0.597402219797058	-0.539532738665838	-0.611399155743969	-0.608814209897278	-0.536379434108996	-0.579577865261023	-0.531893549341125	-0.482976673182002	-0.555090502354221	-0.581392271417671	-0.621122715571929
"8"	-0.424235610388069	-0.287757620264001	-0.102210345308823	-0.29880310098234	-0.412092439025633	-0.424025316848761	-0.417766766347497	-0.389031755985352	-0.300519987831125	-0.408369021846141	-0.415057666817161	-0.42450898625402	-0.427878183627137	-0.424620036059619	-0.394554554704458	-0.434767061701008	-0.415948377003431	-0.386614512914395	-0.436655177224696	-0.328192149941149	-0.345547622117873	-0.419519965547532	-0.42147037274162	-0.419978282311111
"9"	-0.491388931970904	-0.607911099944244	-0.514063485953731	-0.350820343656135	-0.504984189284647	-0.570592401258591	-0.484754839398796	-0.534516240528508	-0.498440664617338	-0.480926710141507	-0.498733995633826	-0.5029572779894	-0.484266141679533	-0.493490446437016	-0.539617865018765	-0.517754743514752	-0.479522276588463	-0.534855483194129	-0.5363649502195	-0.487329420642852	-0.564116487186522	-0.520545221027511	-0.508813206980455	-0.480993861623033
"10"	-0.6234136794524	-0.576077114555078	-0.636276590189598	-0.626017053295215	-0.188911391016177	-0.516006995907739	1.12205971682243e-16	-0.370796430386911	-0.698270448169745	-0.577960528447371	-0.45949164366984	-0.565831608675883	-0.606341906533831	-0.604356226342303	-0.587175691707089	-0.540437994168692	-0.461919722388982	-0.615046609145443	-0.520821893052735	-0.631760704504153	-0.617574375815597	-0.484168498581046	-0.416622519655195	-0.500732275728277
