"Species_9773"	"Species_1387"	"Species_7126"	"Species_4564"	"Species_5461"	"Species_5463"	"Species_5432"	"Species_2706"	"Species_11775"	"Species_6077"	"Species_7566"	"Species_11524"	"Species_9824"	"Species_2990"	"Species_2091"	"Species_12953"	"Species_8080"	"Species_2510"	"Species_12654"	"Species_9147"	"Species_3002"	"Species_10060"	"Species_5419"	"Species_2853"	"Species_5115"	"Species_564"	"Species_5452"	"Species_10932"	"Species_7862"	"Species_11643"	"Species_6940"	"Species_5446"	"Species_2954"	"Species_16033"	"Species_8584"	"Species_5459"	"Species_2855"	"Species_5918"	"Species_1889"	"Species_9918"	"Species_16857"	"Species_1501"	"Species_7375"	"Species_12090"	"Species_3058"	"Species_7161"	"Species_8208"	"Species_11569"	"Species_3569"	"Species_5271"	"Species_3303"	"Species_9831"	"Species_9967"	"Species_10667"	"Species_6166"	"Species_13709"	"Species_7239"	"Replicate"
"1"	-0.327558141888188	-0.295154793249312	-0.282516940781831	-0.296298262956293	-0.160901939778113	-0.291799613086116	-0.295093487135946	-0.297499513877837	-0.29868698622962	-0.296201932176394	-0.291856930848698	-0.292555629490485	-0.290921788138209	-0.283823351615968	-0.293588715229757	-0.288447207507863	-0.303158457393921	-0.30025585081478	-0.290567051757551	-0.297380925794478	-0.29458113210884	-0.286363688677682	-0.299351725993563	-0.295691828657748	-0.308067442326302	-0.292046796402042	-0.296614035221987	-0.299550764452301	-0.306852645409707	-0.329324116467858	-0.298617260791777	-0.298753985467366	-0.315845927394843	-0.302947292908992	-0.298305029203082	-0.259984516429652	-0.302856614318225	-0.30884649904655	-0.295357348412325	-0.297046768080202	-0.29902497328189	-0.291942267255421	-0.292327133874272	-0.292812836781362	-0.360103154893911	-0.250686873502981	-0.284245526336754	-0.272503004045659	-0.294276403386871	-0.351468147486253	-0.292559871607664	-0.305990502297251	-0.292586764369484	-0.307367456229869	-0.290168071598317	-0.334075027380967	-0.317328881729188	-0.290546450522421
"2"	-0.3853676011566	-0.245932957266026	-0.148097677959551	-0.385200279993957	-0.32059059021194	-0.250148595177833	-0.470750421751127	-0.379719031219696	-0.388885233823645	-0.336120373232426	-0.429282555957763	-0.335159782397159	-0.405637197753139	-0.288221308838965	-0.298332763969288	-0.31984988027262	-0.337829200325357	-0.289471903703324	-0.323808216311282	-0.339317423376035	-0.334094878657735	-0.377250906604177	-0.282664356704901	-0.292149089856171	-0.30133940353598	-0.243114472402138	-0.295294230577865	-0.317553252009427	-0.343003726644811	-0.399515773339981	-0.299870887817875	-0.340726537609703	-0.363613492515957	-0.313347084919635	-0.278519201072624	-0.365153458159409	-0.337091920288639	-0.305727007386758	-0.378653341010229	-0.379578148469388	-0.342199419370839	-0.329116341742866	-0.29910734659754	-0.327094802127381	-0.375406056390413	-0.352163839263224	-0.370814536913154	-0.455566149780643	-0.373433644432283	-0.247564694344076	-0.382484207743175	-0.350777180798856	-0.380936081790658	-0.334030883790418	-0.370338799306244	-0.330579051268632	-0.292908289009963	-0.316112499174796
"3"	-0.292716956183068	-0.304163336873436	-0.313604991237327	-0.361278806416809	-0.0380398855128802	-0.307948557032017	-0.309889730589139	-0.322390616150446	-0.338589710198797	-0.324749003740857	-0.324958110103341	-0.325688374096067	-0.306794475116075	-0.293633287355795	-0.310756706186139	-0.312119046450494	-0.320479453341945	-0.330474291300402	-0.303666445551467	-0.30409441839979	-0.268047349238495	-0.296429015656849	-0.27646441836356	-0.307540928169899	-0.312118587200304	-0.303016549018435	-0.298955391190933	-0.348252687630084	-0.329186004801416	-0.323741056702743	-0.314005885843614	-0.315725289752288	-0.335180044761745	-0.316043104023287	-0.337868530208423	-0.314390488945861	-0.314117760771944	-0.339784287249193	-0.321825598132413	-0.306403177749071	-0.33668268838021	-0.305463284657962	-0.308975383564452	-0.325995787099705	-0.30564761269729	-0.242141231625798	-0.301067173602054	-0.280944567426447	-0.339842287265503	-0.31450369523801	-0.321430913443953	-0.334529269789355	-0.323318156189544	-0.318083598266259	-0.316057309232718	-0.339015198601338	-0.344283630124229	-0.302427910206836
"4"	-0.30218683505635	-0.300063149211636	-0.284937539896758	-0.285387746994377	-0.197697429592416	-0.302268765085642	-0.30298960681318	-0.300923822223169	-0.288578068023647	-0.309510086199093	-0.309084193768427	-0.316278262076663	-0.297427810085686	-0.28368290596095	-0.298956551802007	-0.282825326007508	-0.301311847456979	-0.275092104517745	-0.304892195968096	-0.297084278449203	-0.25990755391352	-0.325543236499019	-0.262143701465278	-0.302835257952099	-0.297990187947001	-0.299871340621586	-0.295919613030228	-0.307669404665765	-0.30022265243842	-0.294203021160262	-0.303659988361577	-0.304474993064305	-0.295253598183507	-0.30126543770937	-0.299031482145606	-0.24950358735263	-0.304376615470889	-0.297136863500038	-0.299924791438292	-0.300911986020462	-0.301682575085892	-0.300645101465634	-0.300344740344677	-0.314113708056435	-0.258080907436526	-0.172279261856469	-0.291507721919766	-0.304817456487149	-0.291035246766968	-0.259406489645762	-0.301027248261561	-0.293665799698815	-0.301968872903398	-0.300865376154774	-0.315270447000511	-0.291243230277603	-0.300842085005176	-0.316991551768401
"5"	-0.606149536439111	-0.429062787334673	0.0199936007796253	-0.427122316727309	-0.613462347025287	-0.412050829359043	-0.37274907513116	-0.510800435064381	-0.329531861337279	-0.573747270609072	-0.505299801320537	-0.569414981779832	-0.372396722993204	-0.393250167180037	-0.410508481451892	-0.228583277720699	-0.388316586625936	-0.447693787986713	-0.5607142865558	-0.575761570171749	-0.529557253789324	-0.463894811041306	-0.531092707309709	-0.513166132973842	-0.513850066511794	-0.515207642166253	-0.542610993999249	-0.53989245384269	-0.535307466079994	-0.537984984071563	-0.453450717524976	-0.423306933330222	-0.325855148131417	-0.522801337770674	-0.333272999273321	-0.0468250964381416	-0.531230073981216	-0.488885385261119	-0.457262656559873	-0.489231705938309	-0.570867365360601	-0.433497167866417	-0.538476871361716	-0.552733651393685	-0.575600784454601	-0.556249190382019	-0.566666867688013	-0.504076112575328	-0.440111453411871	-0.395588045699069	-0.569148758059432	-0.456547011534665	-0.524690054023919	-0.567475431178574	-0.514889986033771	-0.52216742491948	-0.494052896832697	-0.542447115784014
"6"	-0.258952853560252	-0.100391030735361	-0.0859816206825906	-0.0512731291476232	-0.238544187255024	-0.206056609806894	-0.0455467835542487	-0.202513334748716	-0.00656856478694279	-0.3001064333788	-0.180245099742695	-0.297319359269749	-0.0119250667724804	-0.0399608773048531	-0.111554176605119	0.0672329300024619	-0.0642039454689607	-0.106302595955241	-0.286720023045257	-0.309949565298346	-0.221530581502782	-0.143810797969756	-0.23975439703562	-0.202009323652708	-0.2031255082347	-0.223897992544725	-0.251730008020037	-0.249005588101395	-0.204780352535861	-0.250803639912542	-0.122164097998424	-0.100541585768976	-0.00871913199327734	-0.184953337297133	-0.00888459462703595	-0.0844766241867869	-0.194807017484952	-0.152230325500345	-0.107286326699814	-0.167175765183254	-0.288371480568876	-0.144862543488313	-0.245621865301639	-0.271051880028736	-0.354007431900876	-0.276669490236623	-0.284366480026836	-0.319460030985013	-0.176545865167025	-0.0883100998374599	-0.299497010845017	-0.120715843894993	-0.199435429037638	-0.310525425421087	-0.228616357800207	-0.220376013399184	-0.192751790293722	-0.249197563648142
"7"	-0.281550386488994	-0.252309736033899	-0.254769953642791	-0.21180534083677	0.0249128277078619	-0.25504075756067	-0.256384470004273	-0.260485365442076	-0.230672161733211	-0.294719505365666	-0.241975760306111	-0.275303933799884	-0.241344365511476	-0.216828424482501	-0.334952011587122	-0.223764163449853	-0.249516656313454	-0.208246257913323	-0.323732515963913	-0.237207171396271	-0.205670158627563	-0.243101336540413	-0.190470819978049	-0.258835892547444	-0.241853747898564	-0.260610913416683	-0.282193839096462	-0.246677069395182	-0.243512198950402	-0.240506572956227	-0.248260015375581	-0.243753573226948	-0.224774573306038	-0.244412597194897	-0.239671772718097	-0.200677847195303	-0.24980777523239	-0.238256425034412	-0.242856891806815	-0.246571879036234	-0.243166156480028	-0.303382357019288	-0.250826928710218	-0.264588120284049	-0.197079758660942	-0.125263591247829	-0.250927638269794	-0.21497868556334	-0.252581304610781	-0.148934229743081	-0.246754669480519	-0.257602018784667	-0.296589337495624	-0.239476608540019	-0.285072017032989	-0.193184176113152	-0.226615177306241	-0.328414771575106
"8"	-0.252931766064493	-0.193829538756604	-0.187550341328773	-0.207575022459959	0.0519897813710046	-0.211642171336495	-0.212857240864024	-0.212168566749468	-0.204991508982376	-0.212353413101223	-0.216799844757769	-0.222114964291656	-0.209061795220579	-0.183543360085258	-0.211098093267883	-0.19647318431224	-0.212472950071074	-0.190310646324238	-0.222118058144711	-0.208003358148563	-0.163555316331116	-0.234498741956907	-0.164055148678473	-0.216954354294708	-0.204001135423898	-0.228290729684641	-0.217756356498036	-0.225563868968901	-0.213138389495905	-0.20657075060719	-0.212728550148379	-0.212289121989596	-0.213965575822374	-0.212485594215899	-0.213521819571827	-0.173786508967788	-0.212197729804962	-0.212503044544757	-0.213317829345895	-0.212083989216501	-0.215452612043133	-0.218472255806147	-0.212502885905027	-0.215241690116616	-0.177744905773156	-0.139992746876151	-0.207518392659194	-0.190046458706428	-0.219077903930384	-0.115337526216909	-0.211320648223771	-0.208329594244508	-0.216754883220073	-0.213823690238278	-0.209218194811754	-0.192783735180445	-0.217170106963719	-0.214687425301942
"9"	-0.313856586274512	-0.38891360124535	-0.291996731149265	-0.299905217304962	-0.26547484369335	-0.276063382153418	-0.30561630454768	-0.300824421791049	-0.292029733605437	-0.30178557295468	-0.277354111148019	-0.3177000733495	-0.285353596841209	-0.298979999102819	-0.273918494063428	-0.286924012076478	-0.304803519668959	-0.335612721846479	-0.303418264218412	-0.281831446042148	-0.23486979320711	-0.287040259957577	-0.386164598024228	-0.314328105862358	-0.338669696090221	-0.299770855617484	-0.346145981427324	-0.344901534061138	-0.320637253249816	-0.336162697996348	-0.30810551615935	-0.275285681103298	-0.35986967859216	-0.323256603688913	-0.326318341386152	-0.317498280586373	-0.306608705673475	-0.326401393391398	-0.291812826464817	-0.280313084630456	-0.293572363960903	-0.36905778856144	-0.293796403864656	-0.328178843798677	-0.282663593184821	-0.264277022183971	-0.26674162631477	-0.336861157286129	-0.268436090697053	-0.322936708699736	-0.277354747937793	-0.3082669104881	-0.295497640325477	-0.310185187785024	-0.273593792378172	-0.372263693168269	-0.365613493698572	-0.275286539398697
"10"	-0.305737391536869	-0.145520457642737	0.03668142096659	-0.107674043258069	-0.297730491183351	-0.00815244947854454	-0.000348665563824957	-0.144151134627968	-0.010653619426963	-0.250260903542073	-0.155090867810853	-0.251270039932241	-0.0134442469510462	-0.0616736530966902	-0.160390888304114	0.0720608376338197	-0.0646311577236041	-0.120493992959574	-0.256736930391572	-0.259870965418736	-0.205469158619675	-0.134906513053197	-0.201644046121755	-0.160684926143788	-0.174773213151514	-0.220512466520381	-0.234412524076442	-0.198346271043098	-0.159002979429673	-0.194590046997825	-0.110297723291701	-0.106840158078982	0.0123314242289871	-0.153566150913899	0.0147493020693599	0.0517735624013465	-0.147373805276788	-0.119030666632122	-0.0850731699571133	-0.130464900174771	-0.215440122962278	-0.133608126452224	-0.214959019986566	-0.221199927158197	-0.253423632711466	-0.237615208813844	-0.233946117040916	-0.176731670109208	-0.0566831457992344	-0.191884087293339	-0.254126292588668	-0.0767686479540683	-0.171099146796985	-0.240939048815704	-0.153545825268569	-0.191073598396232	-0.125385403102426	-0.198455365943867
