"Species_9773"	"Species_1387"	"Species_7126"	"Species_4564"	"Species_5461"	"Species_5463"	"Species_5432"	"Species_2706"	"Species_11775"	"Species_6077"	"Species_7566"	"Species_11524"	"Species_9824"	"Species_2990"	"Species_2091"	"Species_12953"	"Species_8080"	"Species_2510"	"Species_12654"	"Species_9147"	"Species_3002"	"Species_10060"	"Species_5419"	"Species_2853"	"Species_5115"	"Species_564"	"Species_5452"	"Species_10932"	"Species_7862"	"Species_11643"	"Species_6940"	"Species_5446"	"Species_2954"	"Species_16033"	"Species_8584"	"Species_5459"	"Species_2855"	"Species_5918"	"Species_1889"	"Species_9918"	"Species_16857"	"Species_1501"	"Species_7375"	"Species_12090"	"Species_3058"	"Species_7161"	"Species_8208"	"Species_11569"	"Species_3569"	"Species_5271"	"Species_3303"	"Species_9831"	"Species_9967"	"Species_10667"	"Species_6166"	"Species_13709"	"Species_7239"	"Replicate"
"1"	-0.352463395892329	-0.349373655307058	-0.337707945337075	-0.350429165805809	-0.225447944410566	-0.346276565925646	-0.349317065048565	-0.351538012810311	-0.352634141135034	-0.350340245085902	-0.346329474629567	-0.346974427221986	-0.345466265973731	-0.338913863030125	-0.347928044827468	-0.343182037699566	-0.356761652979004	-0.354082323829027	-0.34513881700697	-0.35142854688721	-0.348844121946622	-0.341258789548629	-0.353247747070981	-0.34986938029946	-0.361293023685817	-0.346504735140346	-0.350720647897219	-0.353431474879047	-0.360171672685883	-0.380914569047253	-0.35256977919241	-0.352695986585261	-0.368473163749086	-0.356566731915992	-0.352281565418229	-0.316908784396602	-0.356483028601438	-0.362012152966046	-0.349560629303684	-0.351120093612494	-0.352946129183283	-0.346408246697312	-0.346763508191636	-0.347211849336642	-0.409325989132841	-0.308326344771983	-0.339303562772389	-0.328464311426762	-0.348562833895573	-0.401355213064234	-0.346978343022459	-0.359375848274386	-0.347003167110293	-0.360646882673726	-0.344770527629216	-0.385300025274739	-0.369842044673096	-0.345119800482234
"2"	-0.405855347784713	-0.297937580902852	-0.206849562238203	-0.427600260684029	-0.367446411576634	-0.301862485165568	-0.507250392664842	-0.422497029066613	-0.431031079766842	-0.381905175078466	-0.468642379684814	-0.38101083188701	-0.446627735839129	-0.337309494436278	-0.346723607833475	-0.366756785081405	-0.383496152027057	-0.338473841378957	-0.370442132427746	-0.384881739005274	-0.380019369784788	-0.42019911994182	-0.332135780380425	-0.340966394004021	-0.349522892947292	-0.295313474305439	-0.343894628469046	-0.364618544974295	-0.38831381446241	-0.440928478626879	-0.348155654175263	-0.386193672946965	-0.407502217170029	-0.360702458373453	-0.328276497550374	-0.408935978286346	-0.382809718889422	-0.35360790342905	-0.421504834733661	-0.422365862368051	-0.387564976655609	-0.375384180243358	-0.347444770970123	-0.373502057153079	-0.418481500777281	-0.396842195176105	-0.414206637815695	-0.493113311864736	-0.416645117230057	-0.299456784389313	-0.425071503760887	-0.395551168329969	-0.42363014511544	-0.379959788356596	-0.413763709698917	-0.376746013250105	-0.341673234595483	-0.363277154404121
"3"	-0.318912624472584	-0.357689234037018	-0.366404607295994	-0.410411205923208	-0.112036817396505	-0.36118328341417	-0.362975135928436	-0.374514414908104	-0.38946742479889	-0.376691388068483	-0.376884409326161	-0.377558499165601	-0.360117977030223	-0.347969188328426	-0.363775421094897	-0.365032965954303	-0.372750264623334	-0.381976268892679	-0.357230565124431	-0.357625616984422	-0.324351399297072	-0.350549860606322	-0.332121001566363	-0.360807010618368	-0.36503254203105	-0.356630660632402	-0.352881899560861	-0.398387096273924	-0.380787081355153	-0.375760975417917	-0.366774663855643	-0.368361805925189	-0.386320041318534	-0.368655172944573	-0.38880172019239	-0.367129682103871	-0.366877933020256	-0.390570111306947	-0.373992859814535	-0.359756779460681	-0.387707096966347	-0.358889185838119	-0.362131123290263	-0.377842265015112	-0.359059334797499	-0.300438059962275	-0.354831237171127	-0.336256523778258	-0.390623649783541	-0.367234180219702	-0.373628535486726	-0.385719325959405	-0.375370605713425	-0.370538706091932	-0.368668285445586	-0.389860183324312	-0.394723350883904	-0.356087301729387
"4"	-0.3280317670913	-0.353904445426125	-0.339942344520084	-0.340357920302502	-0.259413011931461	-0.355940398540593	-0.356605790904474	-0.354698912821387	-0.343302832021828	-0.362624694953009	-0.362231563478548	-0.36887224191692	-0.35147182469448	-0.338784220887031	-0.35288297089416	-0.337992608622315	-0.355057089960288	-0.330854250324072	-0.358362027047474	-0.351154718568495	-0.316837742074019	-0.377424525999094	-0.318901878275641	-0.356463315032707	-0.351990942720309	-0.353727391343002	-0.350079642797133	-0.36092560430686	-0.354051679173926	-0.348495096455627	-0.357224604641456	-0.357976916674743	-0.349464859861699	-0.355014250193264	-0.352952137365175	-0.307234080633196	-0.357886106588513	-0.351203258615419	-0.353776730558423	-0.354687987095811	-0.355399300079285	-0.354441632122123	-0.354164375702779	-0.366874192052093	-0.315151606864486	-0.23595008786751	-0.346007127925938	-0.358293036757368	-0.345570997015663	-0.316375221211473	-0.354794383010671	-0.347999199721983	-0.355663574987752	-0.354644962604407	-0.367941951077395	-0.34576298179471	-0.3546234630817	-0.369530663170831
"5"	-0.621297631191453	-0.474737764347899	-0.0616058872827447	-0.472952531389124	-0.644385359263264	-0.459086763010319	-0.422929149120668	-0.54993640025923	-0.383169312430297	-0.607847488960346	-0.544875817214894	-0.603861783237445	-0.422604985153748	-0.441790153805634	-0.45766780293574	-0.290296615503043	-0.437251259695861	-0.491878284947776	-0.595857143631336	-0.609700644558009	-0.567192673486178	-0.506783226158001	-0.568605290724932	-0.552112842335935	-0.552742061190851	-0.553991030792953	-0.579202114479309	-0.576701057535275	-0.572482868793594	-0.574946185345838	-0.497174660122978	-0.469442378663804	-0.379786736280903	-0.56097723074902	-0.386611159331455	-0.12307908872309	-0.568731668062718	-0.52977455444023	-0.500681644035084	-0.530093169463244	-0.605197976131753	-0.478817394437104	-0.575398721652779	-0.58851495928219	-0.609552721698233	-0.591749255151457	-0.601333518272972	-0.543750023569302	-0.484902537138921	-0.443941002043143	-0.603616857414678	-0.500023250611892	-0.562714849702006	-0.602077396684288	-0.553698787151069	-0.560394030925922	-0.534528665086081	-0.579051346521293
"6"	-0.287454666884858	-0.172359748276532	-0.159103091027983	-0.127171278815813	-0.299460652274622	-0.269572081022342	-0.121903040869909	-0.266312267968819	-0.0860430796039873	-0.356097918708496	-0.24582549176328	-0.353533810528169	-0.0909710614306819	-0.116764007120465	-0.182629842476709	-0.0181457043977351	-0.139067629831444	-0.177798388278821	-0.343782421201637	-0.365153600074478	-0.283808134982559	-0.212305934132175	-0.30057404527277	-0.265848577760491	-0.266875467575924	-0.285986153141147	-0.311591607378434	-0.309085141053283	-0.268397924332992	-0.310739348719539	-0.19239097015855	-0.172498258907458	-0.0880216014338151	-0.250157070313362	-0.0881738270568731	0.00228150574815589	-0.259222456086156	-0.220051899460317	-0.178703420563829	-0.233801703968594	-0.345301762123366	-0.213273540009248	-0.305972116077508	-0.329367729626437	-0.405686837348806	-0.334535931017693	-0.341617161624689	-0.373903228506212	-0.242422195953663	-0.161245291850463	-0.355537249977416	-0.191058576383394	-0.263480594714627	-0.3656833913874	-0.290327049176191	-0.28274593232725	-0.257331647070224	-0.309261758556291
"7"	-0.309183063931725	-0.312124957151187	-0.314388357351368	-0.274860913569828	-0.0570801985087671	-0.314637496955816	-0.315873712403931	-0.31964653620671	-0.292218388794554	-0.351141944936413	-0.302617699481622	-0.333279619095893	-0.302036816270558	-0.279482150523901	-0.388155850660152	-0.285863030373864	-0.309555323808377	-0.271586557280257	-0.377833914686799	-0.298230597684569	-0.269216545937358	-0.30365322961718	-0.255233154379805	-0.318129021143648	-0.302505448066679	-0.319762040343348	-0.339618331968745	-0.306942903843567	-0.30403122303437	-0.301266047119729	-0.308399214145534	-0.304253287368792	-0.286792607441555	-0.304859589419305	-0.300498030900649	-0.264623619419679	-0.309823153213799	-0.299195911031659	-0.30342834046227	-0.306846128713335	-0.303712863961626	-0.359111768457744	-0.310760774413401	-0.323421070661325	-0.261313377968066	-0.195242503948003	-0.31085342720821	-0.277780390718273	-0.312374800241919	-0.217019491363634	-0.307014295922078	-0.316993857281894	-0.352862190495974	-0.300318479856818	-0.34226625567035	-0.2577294420241	-0.288485963121742	-0.382141589849097
"8"	-0.281665159677397	-0.258323175656076	-0.252546314022471	-0.270969020663162	-0.0321694011386758	-0.274710797629575	-0.275828661594902	-0.275195081409511	-0.268592188263786	-0.275365140053125	-0.279455857177147	-0.284345767148324	-0.272336851602933	-0.248859891278437	-0.274210245806452	-0.260755329567261	-0.275475114065388	-0.255085794618299	-0.284348613493134	-0.271363089496678	-0.230470891024627	-0.295738842600354	-0.230930736784195	-0.279598005951131	-0.267681044589986	-0.29002747130987	-0.280335847978193	-0.287518759451389	-0.276087318336233	-0.270045090558615	-0.275710266136509	-0.275305992230428	-0.276848329756584	-0.275486746678627	-0.276440074006081	-0.239883588250365	-0.275221911420565	-0.275502800981176	-0.276252402998224	-0.275117270079181	-0.278216403079682	-0.280994475341656	-0.275502655032624	-0.278022354907287	-0.243525313311303	-0.208793327126059	-0.270916921246458	-0.254842742009914	-0.281551671615953	-0.186110524119556	-0.27441499636587	-0.271663226704947	-0.279414492562468	-0.276717795019216	-0.272480739226813	-0.257361036366009	-0.279796498406621	-0.277512431277786
"9"	-0.340246717571646	-0.437800513145722	-0.348636992657323	-0.355912799920565	-0.324236856197882	-0.333978311581144	-0.361167000183865	-0.356758468047765	-0.348667354917002	-0.357642727118306	-0.335165782256178	-0.37228406748154	-0.342525309093912	-0.355061599174593	-0.332005014538353	-0.34397009111036	-0.360419238095442	-0.38876370409876	-0.359144803080939	-0.339284930358776	-0.296080209750541	-0.34407703916097	-0.43527143018229	-0.369181857393369	-0.391576120403003	-0.355789187168086	-0.398454302913138	-0.397309411336247	-0.374986272989831	-0.38926968215664	-0.363457074866602	-0.333262826615034	-0.411080104304787	-0.3773960753938	-0.38021287407526	-0.372098418139463	-0.362080009219597	-0.380289281920086	-0.348467800347632	-0.33788803786002	-0.350086574844031	-0.419533165476525	-0.350292691555483	-0.381924536294783	-0.340050505730036	-0.323134860409253	-0.325402296209588	-0.389912264703239	-0.326961203441288	-0.377101772003757	-0.33516636810277	-0.363605557649052	-0.351857829099439	-0.365370372762222	-0.331706288987919	-0.422482597714807	-0.416364414202686	-0.333263616246801
"10"	-0.332439799554681	-0.213878821031318	-0.0462530927107371	-0.179060119797424	-0.353912051888683	-0.087500253520261	-0.080320772318719	-0.212619043857731	-0.0898013298728059	-0.310240031258708	-0.222683598385985	-0.311168436737661	-0.0923687071949625	-0.136739760848955	-0.227559617239785	-0.0137040293768859	-0.139460665105716	-0.190854473522808	-0.316197975960246	-0.319081288185237	-0.269031625930101	-0.204113992008941	-0.265512522432014	-0.227830132052285	-0.240791356099393	-0.282871469198751	-0.295659522150326	-0.26247856935965	-0.226282741075299	-0.259022843237999	-0.181473905428364	-0.178292945432664	-0.0686550897093319	-0.221280858840787	-0.0664306420961889	-0.0323683225907612	-0.215583900854645	-0.189508213301552	-0.158267316360544	-0.200027708160789	-0.278204913125296	-0.202919476336046	-0.27776229838764	-0.283503932985542	-0.313149742094548	-0.298605992108736	-0.295230427677643	-0.242593136500471	-0.132148494135296	-0.256533360309872	-0.313796189181575	-0.150627156117743	-0.237411215053226	-0.301663924910448	-0.221262159247084	-0.255787710524534	-0.195354570854232	-0.262578936668358
