"x"	"y"	"GroupsVector"	"LostEdges"	"Degree"	"BetweennessCentrality"	"ClosenessCentrality"	"EigenvectorCentrality"	"NeighborhoodConnectivity"
"BacV5Endo_Species_7375"	-1.20387810446894	-0.0883250844113006	"BacV5Endo"	2553	19	0.00626586	0.39607843	0.022618405520916	47
"BacV5Endo_Species_12090"	6.50412477728472	-0.0645634695683719	"BacV5Endo"	1622	2	3.951e-05	0.27495463	0.000241694157011807	5
"BacV5Endo_Species_3058"	7.7566864874087	-0.0793746287618895	"BacV5Endo"	1417	2	0.00052077	0.30792683	0.00144947785884142	25
"BacV5Endo_Species_7161"	5.86642080873106	-5.21528383054991	"BacV5Endo"	1720	5	0.00700502	0.3594306	0.00726043013855815	58.2
"BacV5Endo_Species_8208"	10.7277801671616	-2.31898245153191	"BacV5Endo"	540	1	0	0.22850679	1.49873021655367e-05	2
"BacV5Endo_Species_11569"	7.90345285427402	-2.04874752294866	"BacV5Endo"	1394	2	0.00660066	0.29589844	0.00086190109141171	27
"BacV5Endo_Species_3569"	3.99104030767157	-0.432562732435213	"BacV5Endo"	2236	8	0.00635205	0.37686567	0.012449880130589	62.625
"BacV5Endo_Species_5271"	9.57995449011851	-2.1553193377333	"BacV5Endo"	827	1	0	0.22799097	1.55556608660845e-05	5
"BacV5Endo_Species_3303"	-2.05746354508852	0.448654470246206	"BacV5Endo"	2748	3	0	0.35689046	0.0056193214841187	81
"BacV5Endo_Species_9831"	2.58951426123108	-0.248672707634269	"BacV5Endo"	2282	1	0	0.33517699	0.00261395727284253	113
"BacV5Endo_Species_9967"	8.62346521811338	-0.315680364693213	"BacV5Endo"	1040	5	0.01318675	0.27721866	0.000487711309688166	6.6
"BacV5Endo_Species_10667"	6.14178158131959	-1.83366062462194	"BacV5Endo"	1768	1	0	0.33517699	0.00261395727284253	113
"BacV5Endo_Species_6166"	-2.9704530579261	2.51831379673609	"BacV5Endo"	2695	6	0	0.37315271	0.0121685536578298	84.5
"BacV5Endo_Species_13709"	-4.75325404834695	-1.75266820784181	"BacV5Endo"	2863	1	0	0.33517699	0.00261395727284253	113
"BacV5Endo_Species_7239"	-2.64245290500557	3.84626181515193	"BacV5Endo"	2714	18	0.01224021	0.40562249	0.027519054710865	59.94444444
"BacV5Epi_Species_16840"	1.37114919859053	-2.84146311269026	"BacV5Epi"	2455	39	0.00304492	0.40725806	0.0687718391418457	60.28205128
"BacV5Epi_Species_6423"	-1.27214370505488	-1.42293128495257	"BacV5Epi"	2608	2	0	0.33187295	0.00317081855610013	70
"BacV5Epi_Species_11279"	-4.02839853760737	-1.88800250099299	"BacV5Epi"	2837	42	0.00436203	0.42917847	0.0876483768224716	74.11904762
"BacV5Epi_Species_15656"	-2.77889359481069	-1.79881399958228	"BacV5Epi"	2797	4	1.79e-06	0.33892617	0.00828581489622593	74.25
"BacV5Epi_Species_224"	7.50125992844813	-1.40433390162697	"BacV5Epi"	1484	1	0	0.26393728	0.000165431702043861	12
"BacV5Epi_Species_890"	-8.79265871060444	1.92560778724	"BacV5Epi"	2964	54	0.00568621	0.43722944	0.098037101328373	63.40740741
"BacV5Epi_Species_8584"	1.80113275975161	1.49589289001548	"BacV5Epi"	2362	4	3.303e-05	0.33854749	0.00529973302036524	56
"BacV5Epi_Species_2171"	-12.5212859681045	-3.13080919543664	"BacV5Epi"	3040	30	0.00015328	0.40890688	0.0681098848581314	82.33333333
"BacV5Epi_Species_2706"	-6.92517382418889	-3.52905442038579	"BacV5Epi"	2906	57	0.00271017	0.44363104	0.106515541672707	64.24561404
"BacV5Epi_Species_3569"	-9.98050986260335	-1.89310210841685	"BacV5Epi"	2983	44	0.00143	0.4279661	0.0888701155781746	70.72727273
"BacV5Epi_Species_10357"	-2.07460719403428	-0.991043477656882	"BacV5Epi"	2760	42	0.0013641	0.41966759	0.0857340395450592	72.07142857
"BacV5Epi_Species_8758"	8.29648693645714	0.869571820147098	"BacV5Epi"	1502	1	0	0.27772686	0.00026235799305141	9
"BacV5Epi_Species_12424"	10.6510597027613	-0.540943074690321	"BacV5Epi"	513	1	0	0.22020349	4.41312568000285e-06	9
"BacV5Epi_Species_16870"	-13.4883254738149	-3.76624196907981	"BacV5Epi"	3017	11	1.16e-06	0.38305942	0.0266321524977684	91.72727273
"BacV5Epi_Species_7178"	5.08432836955613	1.68912881980234	"BacV5Epi"	1938	1	0	0.2587532	0.000115180715511087	10
"BacV5Epi_Species_6764"	11.0934647940242	-1.09918979879643	"BacV5Epi"	476	1	0	0.22020349	4.41312568000285e-06	9
"BacV5Epi_Species_10406"	10.7216716949322	-1.70747404162491	"BacV5Epi"	440	1	0	0.22020349	4.41312568000285e-06	9
"BacV5Epi_Species_758"	10.6287791778933	-1.92779125876857	"BacV5Epi"	568	1	0	0.22020349	4.41312568000285e-06	9
