OTU	G.FITS2.10	A.FITS2.9	H.FITS2.8	A.FITS2.10	A.FITS2.18	G.FITS2.7	E.FITS2.3	A.FITS2.7	G.FITS2.8	H.FITS2.5	F.FITS2.7	C.FITS2.9	G.FITS2.9	H.FITS2.7	G.FITS2.5	G.FITS2.1	A.FITS2.6	F.FITS2.10	G.FITS2.2	G.FITS2.3	E.FITS2.2	G.FITS2.6	H.FITS2.6	D.FITS2.8	D.FITS2.7	D.FITS2.10	D.FITS2.9	E.FITS2.4	F.FITS2.6	F.FITS2.8	E.FITS2.5	A.FITS2.20	E.FITS2.1	F.FITS2.9	A.FITS2.19	A.FITS2.8	C.FITS2.10	G.FITS2.4	taxonomy
Species_2414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Typhulaceae; g__Typhula
Species_2274	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	13.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Zopfiella; s__Zopfiella marina
Species_2114	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__Pseudozyma; s__Pseudozyma flocculosa
Species_2134	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	2.0	159.0	0.0	57.0	0.0	4.0	0.0	0.0	0.0	k__Fungi; p__Chytridiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Chytridiomycota sp
Species_391	10.0	14.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	69.0	6.0	0.0	0.0	0.0	6.0	0.0	0.0	9.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes
Species_2676	252.0	61.0	32.0	124.0	159.0	54.0	0.0	28.0	26.0	0.0	573.0	0.0	39.0	0.0	369.0	1.0	76.0	42.0	14.0	5.0	177.0	9.0	31.0	7.0	13.0	144.0	0.0	0.0	173.0	194.0	498.0	31.0	229.0	0.0	52.0	42.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae sedis; g__Cephalosporium; s__Cephalosporium serrae var fuscum
Species_1887	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Podospora; s__Podospora glutinans
Species_2705	9.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	800.0	1.0	0.0	3.0	1.0	550.0	0.0	426.0	0.0	0.0	0.0	25.0	12.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	k__Fungi; p__Ascomycota
Species_690	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Teratosphaeriaceae; g__Devriesia; s__Devriesia sp
Species_2237	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	18.0	227.0	37.0	129.0	0.0	0.0	0.0	35.0	0.0	27.0	0.0	59.0	563.0	269.0	1273.0	240.0	0.0	0.0	0.0	7.0	1.0	0.0	5.0	12.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Incertae sedis; f__Incertae sedis; g__Sarcinomyces
